bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 19:50:00,587,1.14398,1.14401,1.14384,28,124,HIGH_FIRST,2783914609251385393
2026.07.09 19:55:00,722,1.14387,1.14390,1.14364,16,413,HIGH_FIRST,8228832081806963128
2026.07.09 20:00:00,853,1.14368,1.14381,1.14350,242,586,HIGH_FIRST,8931132672516871542
2026.07.09 20:05:00,620,1.14365,1.14375,1.14353,73,256,HIGH_FIRST,4482172441520776459
2026.07.09 20:10:00,645,1.14360,1.14369,1.14342,605,128,LOW_FIRST,4130461689142495451
2026.07.09 20:15:00,715,1.14364,1.14398,1.14352,676,89,LOW_FIRST,5958680616735227127
2026.07.09 20:20:00,833,1.14395,1.14408,1.14384,120,356,HIGH_FIRST,7706410257675508140
2026.07.09 20:25:00,843,1.14396,1.14405,1.14390,788,105,LOW_FIRST,2742568675011971759
2026.07.09 20:30:00,687,1.14402,1.14408,1.14381,79,340,HIGH_FIRST,8111458681134836046
2026.07.09 20:35:00,660,1.14386,1.14392,1.14360,225,608,HIGH_FIRST,9583988096181569395
2026.07.09 20:40:00,491,1.14370,1.14371,1.14348,268,98,LOW_FIRST,12345404265565803395
2026.07.09 20:45:00,527,1.14369,1.14382,1.14363,309,491,HIGH_FIRST,4494163302595934601
2026.07.09 20:50:00,447,1.14374,1.14383,1.14370,131,420,HIGH_FIRST,15803237930733980250
2026.07.09 20:55:00,669,1.14371,1.14381,1.14366,616,458,LOW_FIRST,16019020946799585123
2026.07.09 21:00:00,657,1.14376,1.14383,1.14356,167,427,HIGH_FIRST,15392745424171035377
2026.07.09 21:05:00,504,1.14362,1.14372,1.14354,428,105,LOW_FIRST,18409624410925567127
2026.07.09 21:10:00,460,1.14361,1.14368,1.14347,80,432,HIGH_FIRST,18331271876758012520
2026.07.09 21:15:00,419,1.14350,1.14360,1.14339,70,391,HIGH_FIRST,9217454956330842597
2026.07.09 21:20:00,452,1.14341,1.14345,1.14319,99,237,HIGH_FIRST,12761720863336203429
2026.07.09 21:25:00,592,1.14330,1.14337,1.14318,150,298,HIGH_FIRST,7401937466624617086
2026.07.09 21:30:00,438,1.14321,1.14334,1.14318,376,10,LOW_FIRST,15527250599405793407
2026.07.09 21:35:00,311,1.14325,1.14328,1.14312,8,269,HIGH_FIRST,3811272179853711669
2026.07.09 21:40:00,548,1.14315,1.14339,1.14315,417,0,LOW_FIRST,4798592014223516034
2026.07.09 21:45:00,570,1.14332,1.14344,1.14322,532,112,LOW_FIRST,9089299480776558577
2026.07.09 21:50:00,591,1.14343,1.14346,1.14321,40,377,HIGH_FIRST,10001512996182300945
2026.07.09 21:55:00,753,1.14333,1.14342,1.14333,366,0,LOW_FIRST,3162599835527757439
2026.07.09 22:00:00,818,1.14337,1.14346,1.14320,55,698,HIGH_FIRST,2068238002394367398
