trade_id,pattern_id,direction,candle_1,candle_2,candle_3,signal_time,entry_time,reference,sweep,rejection,entry,stop,target,theo_lot,capped_lot,final_lot,planned_risk,actual_risk,margin_req,margin_avail,exit_time,exit_price,exit_reason,pnl,R
1250,P2_EURUSD_1711999500,SELL,2024.04.01 19:15:00,2024.04.01 19:20:00,2024.04.01 19:25:00,2024.04.01 19:25:00,2024.04.01 19:30:00,1.07351,1.07365,1.07356,1.07357,1.07370,1.07331,1.31,1.31,1.31,17.07,17.03,1406.38,1707.08,2024.04.01 19:58:47,1.07370,STOP,-17.03,-1.000
1251,P2_EURUSD_1712003100,SELL,2024.04.01 20:15:00,2024.04.01 20:20:00,2024.04.01 20:25:00,2024.04.01 20:25:00,2024.04.01 20:30:00,1.07429,1.07440,1.07423,1.07423,1.07445,1.07379,0.76,0.76,0.76,16.90,16.72,816.41,1690.05,2024.04.01 21:37:22,1.07379,TARGET,33.44,2.000
1252,P2_EURUSD_1712025000,SELL,2024.04.02 02:20:00,2024.04.02 02:25:00,2024.04.02 02:30:00,2024.04.02 02:30:00,2024.04.02 02:35:00,1.07378,1.07397,1.07378,1.07378,1.07402,1.07330,0.71,0.71,0.71,17.23,17.04,762.38,1723.49,2024.04.02 03:07:05,1.07330,TARGET,34.08,2.000
1253,P2_EURUSD_1712030100,SELL,2024.04.02 03:45:00,2024.04.02 03:50:00,2024.04.02 03:55:00,2024.04.02 03:55:00,2024.04.02 04:00:00,1.07344,1.07390,1.07371,1.07371,1.07395,1.07323,0.73,0.73,0.73,17.58,17.52,783.81,1757.57,2024.04.02 04:14:49,1.07323,TARGET,35.04,2.000
1254,P1_EURUSD_1712031600,BUY,2024.04.02 04:10:00,2024.04.02 04:15:00,2024.04.02 04:20:00,2024.04.02 04:20:00,2024.04.02 04:25:00,1.07323,1.07303,1.07357,1.07359,1.07298,1.07481,0.29,0.29,0.29,17.93,17.69,311.34,1792.61,2024.04.02 05:16:28,1.07298,STOP,-17.69,-1.000
1255,P1_EURUSD_1712034900,BUY,2024.04.02 05:05:00,2024.04.02 05:10:00,2024.04.02 05:15:00,2024.04.02 05:15:00,2024.04.02 05:20:00,1.07316,1.07299,1.07302,1.07304,1.07294,1.07324,1.77,1.57,1.57,17.75,15.70,1684.67,1774.92,2024.04.02 05:31:02,1.07325,TARGET,32.97,2.100
1256,P2_EURUSD_1712038200,SELL,2024.04.02 06:00:00,2024.04.02 06:05:00,2024.04.02 06:10:00,2024.04.02 06:10:00,2024.04.02 06:15:00,1.07358,1.07362,1.07348,1.07348,1.07367,1.07310,0.95,0.95,0.95,18.08,18.05,1019.81,1807.89,2024.04.02 06:29:47,1.07310,TARGET,36.10,2.000
1257,P1_EURUSD_1712039400,BUY,2024.04.02 06:20:00,2024.04.02 06:25:00,2024.04.02 06:30:00,2024.04.02 06:30:00,2024.04.02 06:35:00,1.07331,1.07309,1.07317,1.07319,1.07304,1.07349,1.22,1.22,1.22,18.44,18.30,1309.29,1843.99,2024.04.02 06:47:52,1.07304,STOP,-18.30,-1.000
1258,P1_EURUSD_1712041500,BUY,2024.04.02 06:55:00,2024.04.02 07:00:00,2024.04.02 07:05:00,2024.04.02 07:05:00,2024.04.02 07:10:00,1.07296,1.07293,1.07302,1.07303,1.07288,1.07333,1.21,1.21,1.21,18.26,18.15,1298.37,1825.69,2024.04.02 07:41:06,1.07333,TARGET,36.30,2.000
1259,P2_EURUSD_1712043900,SELL,2024.04.02 07:35:00,2024.04.02 07:40:00,2024.04.02 07:45:00,2024.04.02 07:45:00,2024.04.02 07:50:00,1.07330,1.07340,1.07324,1.07324,1.07345,1.07282,0.88,0.88,0.88,18.62,18.48,944.45,1861.99,2024.04.02 08:10:26,1.07345,STOP,-18.48,-1.000
1260,P1_EURUSD_1712048400,BUY,2024.04.02 08:50:00,2024.04.02 08:55:00,2024.04.02 09:00:00,2024.04.02 09:00:00,2024.04.02 09:05:00,1.07286,1.07258,1.07275,1.07276,1.07253,1.07322,0.80,0.80,0.80,18.44,18.40,858.21,1843.51,2024.04.02 09:42:16,1.07253,STOP,-18.40,-1.000
1261,P2_EURUSD_1712053200,SELL,2024.04.02 10:10:00,2024.04.02 10:15:00,2024.04.02 10:20:00,2024.04.02 10:20:00,2024.04.02 10:25:00,1.07306,1.07332,1.07316,1.07316,1.07337,1.07274,0.86,0.86,0.86,18.25,18.06,922.92,1825.11,2024.04.02 10:30:35,1.07338,STOP,-18.92,-1.048
1262,P2_EURUSD_1712054700,SELL,2024.04.02 10:35:00,2024.04.02 10:40:00,2024.04.02 10:45:00,2024.04.02 10:45:00,2024.04.02 10:50:00,1.07364,1.07374,1.07367,1.07365,1.07379,1.07337,1.29,1.29,1.29,18.06,18.06,1385.01,1806.19,2024.04.02 10:50:19,1.07380,STOP,-19.35,-1.071
1263,P1_EURUSD_1712057400,BUY,2024.04.02 11:20:00,2024.04.02 11:25:00,2024.04.02 11:30:00,2024.04.02 11:30:00,2024.04.02 11:35:00,1.07275,1.07265,1.07313,1.07315,1.07260,1.07425,0.32,0.32,0.32,17.87,17.60,343.41,1786.84,2024.04.02 12:56:05,1.07425,TARGET,35.20,2.000
1264,P2_EURUSD_1712062800,SELL,2024.04.02 12:50:00,2024.04.02 12:55:00,2024.04.02 13:00:00,2024.04.02 13:00:00,2024.04.02 13:05:00,1.07414,1.07430,1.07419,1.07419,1.07435,1.07387,1.13,1.13,1.13,18.22,18.08,1213.83,1822.04,2024.04.02 13:58:05,1.07438,STOP,-21.47,-1.187
1265,P2_EURUSD_1712066700,SELL,2024.04.02 13:55:00,2024.04.02 14:00:00,2024.04.02 14:05:00,2024.04.02 14:05:00,2024.04.02 14:10:00,1.07457,1.07474,1.07443,1.07443,1.07479,1.07371,0.50,0.50,0.50,18.01,18.00,537.22,1800.57,2024.04.02 14:32:53,1.07479,STOP,-18.00,-1.000
1266,P2_EURUSD_1712070000,SELL,2024.04.02 14:50:00,2024.04.02 14:55:00,2024.04.02 15:00:00,2024.04.02 15:00:00,2024.04.02 15:05:00,1.07495,1.07534,1.07522,1.07522,1.07539,1.07488,1.04,1.04,1.04,17.83,17.68,1118.23,1782.57,2024.04.02 15:08:45,1.07486,TARGET,37.44,2.118
1267,P2_EURUSD_1712072400,SELL,2024.04.02 15:30:00,2024.04.02 15:35:00,2024.04.02 15:40:00,2024.04.02 15:40:00,2024.04.02 15:45:00,1.07497,1.07518,1.07490,1.07490,1.07523,1.07424,0.55,0.55,0.55,18.20,18.15,591.20,1820.01,2024.04.02 16:04:16,1.07524,STOP,-18.70,-1.030
1268,P2_EURUSD_1712074500,SELL,2024.04.02 16:05:00,2024.04.02 16:10:00,2024.04.02 16:15:00,2024.04.02 16:15:00,2024.04.02 16:20:00,1.07527,1.07567,1.07562,1.07562,1.07572,1.07542,1.80,1.59,1.59,18.01,15.90,1710.24,1801.31,2024.04.02 16:20:18,1.07572,STOP,-15.90,-1.000
1269,P2_EURUSD_1712075400,SELL,2024.04.02 16:20:00,2024.04.02 16:25:00,2024.04.02 16:30:00,2024.04.02 16:30:00,2024.04.02 16:35:00,1.07592,1.07610,1.07583,1.07583,1.07615,1.07519,0.55,0.55,0.55,17.85,17.60,591.71,1785.41,2024.04.02 16:37:01,1.07620,STOP,-20.35,-1.156
1270,P2_EURUSD_1712076300,SELL,2024.04.02 16:35:00,2024.04.02 16:40:00,2024.04.02 16:45:00,2024.04.02 16:45:00,2024.04.02 16:50:00,1.07647,1.07679,1.07652,1.07652,1.07684,1.07588,0.55,0.55,0.55,17.65,17.60,592.09,1765.06,2024.04.02 17:01:37,1.07684,STOP,-17.60,-1.000
1271,P1_EURUSD_1712080500,BUY,2024.04.02 17:45:00,2024.04.02 17:50:00,2024.04.02 17:55:00,2024.04.02 17:55:00,2024.04.02 18:00:00,1.07682,1.07632,1.07656,1.07660,1.07627,1.07726,0.52,0.52,0.52,17.47,17.16,559.83,1747.46,2024.04.02 21:39:54,1.07627,STOP,-17.16,-1.000
