id,dir,entry,stop,risk,spread_pips,pl,R
71,BUY,1.26751,1.26551,104.00,0.100,-104.52,-1.005
72,SELL,1.26629,1.26829,102.00,0.100,204.51,2.005
73,BUY,1.26425,1.26225,104.00,0.300,-110.86,-1.066
74,BUY,1.26156,1.25964,99.84,1.000,-99.84,-1.000
75,BUY,1.25915,1.25715,102.00,0.100,-102.00,-1.000
76,BUY,1.25549,1.25349,102.00,0.100,-102.00,-1.000
77,SELL,1.25249,1.25449,100.00,0.100,-102.10,-1.021
78,SELL,1.25423,1.25623,100.00,0.500,-100.00,-1.000
79,SELL,1.25558,1.25758,98.00,0.100,-99.96,-1.020
80,SELL,1.25764,1.25960,96.04,0.100,-96.04,-1.000
81,SELL,1.25938,1.26138,96.00,0.300,-97.54,-1.016
82,SELL,1.26183,1.26380,94.56,0.100,-94.56,-1.000
83,SELL,1.26304,1.26504,94.00,0.100,184.90,1.967
84,SELL,1.26149,1.26349,96.00,0.100,-97.54,-1.016
85,SELL,1.26282,1.26482,96.00,0.100,-98.98,-1.031
86,BUY,1.26434,1.26234,94.00,0.200,-94.00,-1.000
87,SELL,1.26266,1.26466,94.00,0.200,-95.03,-1.011
88,SELL,1.26407,1.26607,92.00,0.200,-92.00,-1.000
89,SELL,1.26717,1.26916,91.54,0.200,185.84,2.030
90,BUY,1.25902,1.25702,94.00,0.200,-94.56,-1.006
91,BUY,1.25611,1.25411,92.00,0.200,-92.00,-1.000
92,BUY,1.25483,1.25283,92.00,0.200,184.18,2.002
93,SELL,1.25828,1.26028,94.00,0.400,-94.47,-1.005
94,SELL,1.25847,1.26047,92.00,0.600,-92.46,-1.005
95,BUY,1.25813,1.25613,92.00,0.200,-92.00,-1.000
96,BUY,1.25607,1.25412,87.75,0.200,182.25,2.077
97,SELL,1.26213,1.26413,92.00,0.400,181.98,1.978
98,SELL,1.26513,1.26713,94.00,0.200,186.97,1.989
99,SELL,1.26074,1.26274,96.00,0.200,-97.44,-1.015
100,SELL,1.26266,1.26464,93.06,0.200,-96.63,-1.038
101,BUY,1.26339,1.26140,93.53,0.600,188.47,2.015
102,SELL,1.27004,1.27203,95.52,0.200,192.48,2.015
103,BUY,1.26380,1.26180,98.00,0.200,-98.49,-1.005
104,SELL,1.26155,1.26355,96.00,0.200,-96.00,-1.000
105,BUY,1.26823,1.26623,96.00,0.200,-96.10,-1.001
