id,dir,entry,stop,risk,pl,R
1205,BUY,1.08864,1.08764,100.00,101.00,1.010
1206,SELL,1.08973,1.09073,100.00,100.00,1.000
1207,BUY,1.08857,1.08757,100.00,100.00,1.000
1208,SELL,1.08966,1.09066,100.00,-102.00,-1.020
1209,SELL,1.09067,1.09167,100.00,-100.00,-1.000
1210,SELL,1.09173,1.09273,100.00,104.00,1.040
1211,BUY,1.09069,1.08969,100.00,151.30,1.513
1212,SELL,1.09221,1.09321,100.00,102.00,1.020
1213,BUY,1.09119,1.09019,100.00,101.00,1.010
1214,BUY,1.09159,1.09059,100.00,100.00,1.000
1215,SELL,1.09305,1.09405,100.00,100.00,1.000
1216,BUY,1.09205,1.09105,100.00,-101.00,-1.010
1217,BUY,1.09073,1.08973,100.00,-105.00,-1.050
1218,BUY,1.09011,1.08911,100.00,100.00,1.000
1219,SELL,1.09161,1.09261,100.00,100.00,1.000
1220,BUY,1.09061,1.08961,100.00,101.00,1.010
1221,SELL,1.09162,1.09262,100.00,-100.00,-1.000
1222,SELL,1.09255,1.09355,100.00,-101.00,-1.010
1223,SELL,1.09363,1.09463,100.00,-110.00,-1.100
1224,SELL,1.09480,1.09580,100.00,-102.00,-1.020
1225,BUY,1.09578,1.09478,100.00,-103.00,-1.030
1226,BUY,1.09477,1.09377,100.00,-102.00,-1.020
1227,SELL,1.09539,1.09639,100.00,-101.00,-1.010
1228,SELL,1.09646,1.09746,100.00,-101.00,-1.010
1229,BUY,1.09666,1.09566,100.00,-102.00,-1.020
1230,BUY,1.09567,1.09467,100.00,-101.00,-1.010
1231,SELL,1.09532,1.09632,100.00,102.00,1.020
1232,BUY,1.09430,1.09330,100.00,-100.00,-1.000
1233,BUY,1.09334,1.09234,100.00,101.00,1.010
1234,SELL,1.09444,1.09544,100.00,-100.00,-1.000
1235,SELL,1.09540,1.09640,100.00,-100.00,-1.000
1236,SELL,1.09637,1.09737,100.00,-100.00,-1.000
1237,SELL,1.09734,1.09834,100.00,-101.00,-1.010
1238,SELL,1.09848,1.09948,100.00,-106.00,-1.060
1239,SELL,1.10073,1.10173,100.00,103.00,1.030
1240,BUY,1.09883,1.09783,100.00,101.00,1.010
1241,SELL,1.10025,1.10125,100.00,100.00,1.000
1242,BUY,1.09954,1.09854,100.00,-108.00,-1.080
1243,BUY,1.09832,1.09732,100.00,-152.00,-1.520
1244,BUY,1.09718,1.09618,100.00,-107.00,-1.070
1245,BUY,1.09602,1.09502,100.00,108.00,1.080
1246,BUY,1.09662,1.09562,100.00,100.00,1.000
1247,SELL,1.09762,1.09862,100.00,-101.00,-1.010
1248,SELL,1.09862,1.09962,100.00,102.00,1.020
1249,BUY,1.09735,1.09635,100.00,-107.00,-1.070
1250,BUY,1.09633,1.09533,100.00,101.00,1.010
1251,SELL,1.09707,1.09807,100.00,101.00,1.010
1252,BUY,1.09566,1.09466,100.00,-171.70,-1.717
1253,SELL,1.09579,1.09679,100.00,104.00,1.040
1254,BUY,1.09453,1.09353,100.00,100.00,1.000
1255,BUY,1.09426,1.09326,100.00,-109.00,-1.090
1256,BUY,1.09304,1.09204,100.00,-101.00,-1.010
1257,SELL,1.09268,1.09368,100.00,106.00,1.060
1258,BUY,1.09158,1.09058,100.00,-100.00,-1.000
1259,SELL,1.09092,1.09192,100.00,-102.00,-1.020
1260,SELL,1.09237,1.09337,100.00,-100.00,-1.000
1261,BUY,1.09270,1.09170,100.00,-101.70,-1.017
1262,BUY,1.09148,1.09048,100.00,100.00,1.000
1263,BUY,1.09214,1.09114,100.00,-101.00,-1.010
1264,SELL,1.09168,1.09268,100.00,-100.00,-1.000
1265,SELL,1.09329,1.09429,100.00,100.00,1.000
1266,BUY,1.09243,1.09143,100.00,100.00,1.000
1267,SELL,1.09423,1.09523,100.00,101.00,1.010
1268,SELL,1.09275,1.09375,100.00,109.00,1.090
1269,BUY,1.09166,1.09066,100.00,-100.00,-1.000
1270,BUY,1.09067,1.08967,100.00,-100.00,-1.000
1271,BUY,1.08968,1.08868,100.00,-101.00,-1.010
1272,BUY,1.08860,1.08760,100.00,100.00,1.000
1273,SELL,1.08990,1.09090,100.00,-102.00,-1.020
1274,SELL,1.09112,1.09212,100.00,-101.00,-1.010
1275,BUY,1.09189,1.09089,100.00,100.00,1.000
1276,SELL,1.09203,1.09303,100.00,-103.00,-1.030
1277,SELL,1.09393,1.09493,100.00,101.00,1.010
1278,BUY,1.09287,1.09187,100.00,101.30,1.013
