time,event,a,b,c,d,e
2026.07.08 02:10:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1783476300,,,,
2026.07.08 02:56:00,EXIT,id=45,TARGET,178.10,R=2.000,
2026.07.08 03:45:00,ENTRY_ATTEMPT,P2_EURUSD_1783482000,SELL,4.56,1.14101,1.14121
2026.07.08 03:45:00,ENTRY_ACCEPTED,P2_EURUSD_1783482000,id=46,1.14101,lot=4.56,riskP=91.39/A=91.20
2026.07.08 04:05:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783483200,,,,
2026.07.08 04:07:46,EXIT,id=46,TARGET,182.40,R=2.000,
2026.07.08 04:50:00,ENTRY_ATTEMPT,P1_EURUSD_1783485900,BUY,1.43,1.14045,1.13980
2026.07.08 04:50:00,ENTRY_ACCEPTED,P1_EURUSD_1783485900,id=47,1.14045,lot=1.43,riskP=93.21/A=92.95
2026.07.08 05:30:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1783488300,,,,
2026.07.08 07:45:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1783496400,,,,
2026.07.08 08:03:49,EXIT,id=47,TARGET,185.90,R=2.000,
2026.07.08 08:15:00,ENTRY_ATTEMPT,P2_EURUSD_1783498200,SELL,1.94,1.14145,1.14194
2026.07.08 08:15:00,ENTRY_ACCEPTED,P2_EURUSD_1783498200,id=48,1.14145,lot=1.94,riskP=95.07/A=95.06
2026.07.08 08:42:26,EXIT,id=48,STOP,-95.06,R=-1.000,
2026.07.08 08:50:00,ENTRY_ATTEMPT,P2_EURUSD_1783500300,SELL,3.36,1.14185,1.14213
2026.07.08 08:50:00,ENTRY_ACCEPTED,P2_EURUSD_1783500300,id=49,1.14185,lot=3.36,riskP=94.12/A=94.08
2026.07.08 09:00:15,EXIT,id=49,STOP,-104.16,R=-1.107,
2026.07.08 10:40:00,ENTRY_ATTEMPT,P2_EURUSD_1783506900,SELL,1.82,1.14271,1.14322
2026.07.08 10:40:00,ENTRY_ACCEPTED,P2_EURUSD_1783506900,id=50,1.14271,lot=1.82,riskP=93.08/A=92.82
2026.07.08 11:16:47,EXIT,id=50,TARGET,185.64,R=2.000,
2026.07.08 11:25:00,ENTRY_ATTEMPT,P1_EURUSD_1783509600,BUY,1.31,1.14074,1.14002
2026.07.08 11:25:00,ENTRY_ACCEPTED,P1_EURUSD_1783509600,id=51,1.14074,lot=1.31,riskP=94.94/A=94.32
2026.07.08 12:11:37,EXIT,id=51,STOP,-94.32,R=-1.000,
2026.07.08 12:20:00,ENTRY_ATTEMPT,P1_EURUSD_1783512900,BUY,0.96,1.14052,1.13955
2026.07.08 12:20:00,ENTRY_ACCEPTED,P1_EURUSD_1783512900,id=52,1.14052,lot=0.96,riskP=93.99/A=93.12
