READINESS,connected_and_synced,YES,waited_ms=2010,terminal_connected=1,bars_m1=100000,synced=1,
section,key,v1,v2,v3,v4,v5,v6
ENV,build,6096,,,,,
ENV,company,MetaQuotes Ltd.,,,,,
ENV,server,MetaQuotes-Demo,10012089985,DEMO,,,
PENETRATION,WINTER_B,1.15929,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495396352,askDn=-1,DIVERGENT
PENETRATION,WINTER_B,1.15937,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495349247,askDn=1768495350461,DIVERGENT
PENETRATION,WINTER_B,1.15945,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495349150,askDn=1768495349150,same
PENETRATION,WINTER_B,1.15954,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495337977,askDn=1768495339082,DIVERGENT
PENETRATION,WINTER_B,1.15962,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495314670,askDn=1768495333376,DIVERGENT
PENETRATION,WINTER_B,1.15970,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495303734,askDn=1768495311347,DIVERGENT
PENETRATION,WINTER_B,1.15979,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495287717,askDn=1768495295518,DIVERGENT
PENETRATION,WINTER_B,1.15987,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495277299,askDn=1768495277354,DIVERGENT
PENETRATION,WINTER_B,1.15995,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495256872,askDn=1768495271518,DIVERGENT
PENETRATION,WINTER_B,1.16003,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495227875,askDn=1768495254202,DIVERGENT
PENETRATION,WINTER_B,1.16012,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495170981,askDn=1768495176438,DIVERGENT
PENETRATION,WINTER_B,1.16020,bidUp=1768494600059,askUp=1768494600059,bidDn=1768495148504,askDn=1768495162476,DIVERGENT
